"id"	"type"	"review"
24818	"Con"	"It's a little too big and heavy to carry in your pocket."
24819	"Con"	"A little bulky and heavy for the casual user. No proper hand grip."
24820	"Con"	"Slow zoom, Autofocus not as quick as some other digitals"
24821	"Con"	"Price"
24822	"Con"	"Sometimes slow focus, battery charges in camera, external charger not included."
24823	"Con"	"Expensive"
24824	"Con"	"Large size"
24825	"Con"	"Slow Start-Up, zoom, and Autofocus times, battery charges in camera, off-set tripod mount&amp;#13;&amp;#10;"
24826	"Con"	"Not for the inexperienced"
24827	"Con"	"None"
24828	"Con"	"price, slower focus"
24829	"Con"	"Slow everything, flimsy feeling, requires experience and expensive: external charger not included,"
24830	"Con"	"Slow zoom response, somewhat long start up time, complex controls"
24831	"Con"	"Price"
24832	"Con"	"unreliable, expensive"
24833	"Con"	"Poor hand grip. Restrictive pricing."
24834	"Con"	"Pricey. The autofocus can take a while to focus."
24835	"Con"	"&lt;b&gt;&lt;i&gt;A bit on the heavy side; not great macro settings; poor lens cap design.&lt;/b&gt;&lt;/i&gt;"
24836	"Con"	"Not as good macro capability (without add-on lenses) as Nikon coolpix 995."
24837	"Con"	"Nothing that matters! Audio quality not great, but that's likely true for most digicams."
24838	"Con"	"RAW format is nice perk but takes a long time to process"
24839	"Con"	"Weight, hand grip could be rubberized"
24840	"Con"	"Heavy, over-kill software, Poor focus characteristics, bad macro ability. incorrect color matching."
24841	"Con"	"Refer review body."
24842	"Con"	"Rear case material, lens cover, raw image converter software"
24843	"Con"	"No interchangable lenses"
24844	"Con"	"UK Price barrier maybe - but worth it!"
24845	"Con"	"Plastic body can break if dropped."
24846	"Con"	"none I can think of"
24847	"Con"	"slow, and expensive."
24848	"Con"	"Some advanced features available only in AE mode, some minor flaws and annoyances."
24849	"Con"	"yt"
24850	"Con"	"No 'through the viewfinder"" information. Cutting edge technology = painful pricing. Limited enlargements"
24851	"Con"	"Only for those who take pride and joy on superb photograpy."
24852	"Con"	"Same problems as all non-pro digital cameras: shutter lag and startup time"
24853	"Con"	"proprietary battery, learning curve, doesn't handle low light situations well."
24854	"Con"	"Price. Should I have waited for the newer G3?"
24855	"Con"	"One fat baby, Shutter lag is long"
24856	"Con"	"Handling can be awkward...offset tripod mount."
24857	"Con"	"none"
24858	"Con"	"Price, Grip, and Overall size and weight"
24859	"Con"	"Minor focusing niggles (doesn't greatly affect use of the camera); a bit slow perhaps."
24860	"Con"	"Expensive, large, heavy, to long to boot-up, manual lens cap, doesn't take snap shots"
24861	"Con"	"wish the zoom was better and bettery life could be better"
24862	"Con"	"Price... back when I bought it."
24863	"Con"	"nothing"
24864	"Con"	"not all the features of a SLR camera"
24865	"Con"	"Pricey for the resolution, A little bulky, Transfer speed not fast enough"
24866	"Con"	"A bit heavy, included CF card uselessly small."
24867	"Con"	"slow acting shutter button"
24868	"Con"	"poor ISO400, control response not so fast"
24869	"Con"	"Clunky and large but well worth it."
24870	"Con"	"Total failure just out of warranty."
24871	"Con"	"Diopter could use a wider range of adjustment."
24872	"Con"	"Cheap plastic (rear &amp; cf door), odd tripod mount"
24873	"Con"	"Price"
24874	"Con"	"A bit heavy.  For the price I wish it included a carrying case."
24875	"Con"	"none"
24876	"Con"	"A little expensive but far less than Nikon professional digitals with same quality."
24877	"Con"	"Slow start up, partially plastic housing"
24878	"Con"	"Expensive and LOTS of redeye when using flash"
24879	"Con"	"Expensive,not easy for more people to enjoy. Small,and easy to take with."
24880	"Con"	"digital zoom has MUCH to improve on. This is a heavy camera."
24881	"Con"	"Slow shutter trigger makes action shots difficult"
24882	"Con"	"Pricey"
24883	"Con"	"Optical view finder is not that great, not fast enough for sports pictures."
24884	"Con"	"Nothing I did not expect before buying.  Nothing worth complaining about."
24885	"Con"	"Price, Weak Flash."
24886	"Con"	"auto-focusing is ""soft"", weak flash, lens visible in viewfinder"
24887	"Con"	"Autofocus difficult in low light &amp; at anything except full wide-angle."
24888	"Con"	"bad View finder, limited zoom, slow auto focus"
24889	"Con"	"View finder obstruction... slow focus"
24890	"Con"	"Ships with small CF card of 32mb."
24891	"Con"	"&lt;b&gt;Terminal cover flimsy and hard to use. Zoombrowser software needs improvements.&lt;/b&gt;"
24892	"Con"	"Blurry and out of focus on shots taken indoors"
24893	"Con"	"Optical viewfinder is not worth using"
24894	"Con"	"overexposed pics"
24895	"Con"	"Auto focus is poor in low light and fast moving situations"
24896	"Con"	"a little expensive"
24897	"Con"	"a bit pricey, bad viewfinder, weak flash"
24898	"Con"	"Neck strap (hey - gotta say something bad, don't you?)"
24899	"Con"	"None"
24900	"Con"	"Horrible, horrible autofocus. Majority of images are blurry."
24901	"Con"	"Really bad focus-lock time, even in bright light"
24902	"Con"	"Shutter lag is noticeable. No way to put protective filter on without attachment"
24903	"Con"	"All models have lemons. I got one!"
24904	"Con"	"AF misses sometimes at 4x in macro regime"
24905	"Con"	"Grip a little awkward for large hands."
24906	"Con"	"The manual lacks beginners.  The lens cap could be better"
24907	"Con"	"As a 25 year 35mm user, I've found none.  Absolutely delighted with the G3."
24908	"Con"	"a little bulky"
24909	"Con"	"horrible color issues left my pictures looking unrealistic &amp; cartoon-like"
24910	"Con"	"None worthy of note"
24911	"Con"	"Some constructional flaws"
24912	"Con"	"With 420EX flash the camera feels badly balanced"
24913	"Con"	"Lens barrel visible through optical viewfinder."
24914	"Con"	"Proprietary Battery, Poor RAW Software, Bulky, Lens Cap"
24915	"Con"	"autofocus in low lite situations, red eye reduction not optimal,better picture organizing software needed"
24916	"Con"	"Autofocus Time, Lens Cap"
24917	"Con"	"None"
24918	"Con"	"a little expensive"
24919	"Con"	"Kind of boring"
24920	"Con"	"Slow to download"
24921	"Con"	"but cheap product!"
24922	"Con"	"autofocus cycling is a bit slow"
24923	"Con"	"none"
24924	"Con"	"autofocus takes too long"
24925	"Con"	"lacks manual controls,  less popular, bulky if used without a flash"
24926	"Con"	"Only 2.5 Zoom"
24927	"Con"	"Distance shots, large and bulky."
24928	"Con"	"A bit heavy.  Small 8m flash card included. It could have been a 16m!"
24929	"Con"	"some chromatic aberration, focus has trouble in low light, no optical viewfinder"
24930	"Con"	"Viewfinder functionality not so best in dark environments."
24931	"Con"	"- limited functionality with EX series speedlights&amp;#13;&amp;#10;- poor low light focus"
24932	"Con"	"A little pricey. Not a true 3 megapixel camera."
24933	"Con"	"Canon software doesn't retain shooting info when converting RAW files"
24934	"Con"	"No Newer       with 5 Meg Pixels, Out of Production"
24935	"Con"	"Horrible contruction, Horrible battery life"
24936	"Con"	"Electric Viewfinder, Battery, Ergonomics, Resolution, Cost  &amp;#13;&amp;#10;"
24937	"Con"	"No Macro Function"
24938	"Con"	"Cannot accept alkaline batteries, small included memory card."
24939	"Con"	"The power zoom and digital viewfinder take some practice; proprietary battery"
24940	"Con"	"easy to lose"
24941	"Con"	"Battery casing is fragile."
24942	"Con"	"Slow shutter, body/screen easy to scratch, zoom is weak, charger&amp;battery no included"
24943	"Con"	"standard 8mb not enough memory"
24944	"Con"	"eats up battery quickly"
24945	"Con"	"sells for $300+"
24946	"Con"	"Bad video quality"
24947	"Con"	"2X OPTICAL, BATTERY LIFE"
24948	"Con"	"Propietary batteries, poor battery life."
24949	"Con"	"I would like more idea on print size.. but no cons on camera itself."
24950	"Con"	"no accessories, short battery life"
24951	"Con"	"There is really no cons to this camera it is a GREAT CAMERA!!!!!!!!!!!!!"
24952	"Con"	"Long shot delay, slow shutter ineffective"
24953	"Con"	"underpowered flash"
24954	"Con"	"Low battery life - you need the rechargeable battery"
24955	"Con"	"none"
24956	"Con"	"Battery life is too short. The ""macro"" feature is weaker than I hoped."
24957	"Con"	"A bit too small, no easy preview option,"
24958	"Con"	"Shutter delay, battery life"
24959	"Con"	"So many features you cannot afford to lose the instructions; battery life"
24960	"Con"	"Eats batteries up"
24961	"Con"	"No Movie-Mode or Sound."
24962	"Con"	"no additional lenses, expensive batteries, not enough zoom"
24963	"Con"	"Optical Zoom range a bit limited."
24964	"Con"	"Battery Life, Doesn't like concert lighting"
24965	"Con"	"None really."
24966	"Con"	"Short Life Battery, Slightly Heavy,"
24967	"Con"	"Uses a lot of power"
24968	"Con"	"Small LCD, underpowered, NIMH extra"
24969	"Con"	"Separate rechargeable battery, Current microdrive issues"
24970	"Con"	"must be careful and become familiar with the camera for best use"
24971	"Con"	"Soul Stealing side effect not listed in warnings"
24972	"Con"	"Battery Life, 8MB Compact Flash,"
24973	"Con"	"none"
24974	"Con"	"Little Pricey, Storage"
24975	"Con"	"2x zoom, proprietary battery is expensive, lack of manual control, weak flash"
24976	"Con"	"non-standard battery, on/off switch can go on by accident"
24977	"Con"	"slow-compared to 35mm, feature learning curve"
24978	"Con"	"Short battery life, max. 2x optical zoom, no provision for external flash"
24979	"Con"	"Canon's lack of going the distance."
24980	"Con"	"multi-step process to delete images, battery is not rechargeable, only 8Mb memory included"
24981	"Con"	"2x zoom, uses expensive 2CR5 lithium batteries"
24982	"Con"	"Battery life is awful, use lcd moderately"
24983	"Con"	"Rechargable battery extra, small flash"
24984	"Con"	"Price"
24985	"Con"	"eats batteries when using flash"
24986	"Con"	"Included software is buggy"
24987	"Con"	"Battery drains fast if you keep the LCD screen on all the time"
24988	"Con"	"battery consumption"
24989	"Con"	"rechargeable batteries sold separately"
24990	"Con"	"So So Battery Life, Where's the Rechargeable Battery?"
24991	"Con"	"Battery life"
24992	"Con"	"none if you are not a professional photographer"
24993	"Con"	"Battery life, virtually have to buy the rechargables"
24994	"Con"	"Battery life demands a 2nd battery"
24995	"Con"	"None"
24996	"Con"	"can't keep the shutter open for more than 2 seconds, so if you're getting it for night shots, a different one may be more suitable"
24997	"Con"	"flash, halfway point on shutter button, doesn't take picture right away, have to take battery out, included adobe photodeluxe crashed my computer"
24998	"Con"	"Delayed Setup; Need To Buy Accessories"
24999	"Con"	"Eats up batteries like a crazed iranian terrorist"
25000	"Con"	"Software,power,zoom"
25001	"Con"	"..."
25002	"Con"	"some phase contrast problems"
25003	"Con"	"bad consumption of power, get the power supply kit"
25004	"Con"	"unless you are an idiot like me"
25005	"Con"	"needs battery charger"
25006	"Con"	"SEE ABOVE"
25007	"Con"	"Battery hog"
25008	"Con"	"Definitely requires the manual for some features; rechargeable batteries recommended."
25009	"Con"	"Weak flash, DK110 battery kit is a $75 must!"
25010	"Con"	"rechargeable battery and charger is not included, an additional $80 online"
25011	"Con"	"High speed shots blurry, short battery life"
25012	"Con"	"Doesn't come w/rechargeable battery/AC power, 8Mb memory card isn't sufficient."
25013	"Con"	"could have more mega pixles"
25014	"Con"	"Recharger and rechargable battery not included"
25015	"Con"	"battery is fast empty"
25016	"Con"	"Bigger than the S100 Powershot Elph"
25017	"Con"	"Battery consumption is bad"
25018	"Con"	"Very limited zoom, unflattering skin tones with flash, proprietary battery ni"
25019	"Con"	"umption"
25020	"Con"	"Consumed my batteries in no time"
25021	"Con"	"Slow press-to-shoot time, rechargeable battery pack is optional"
25022	"Con"	"BATTERY..... need I say more?"
25023	"Con"	"May not produce the best quality images in low light."
25024	"Con"	"Expensive 2CR5 Lithium batteries...no PC connector for an external flash...oh well, its unnecessary"
25025	"Con"	"Yet another bit of propaganda for the Cult of Canon"
25026	"Con"	"doesn't come with AC adapter"
25027	"Con"	"hog battiers"
25028	"Con"	"poor battery life, color unsaturated, not weatherproof at all"
25029	"Con"	"Low battery life!"
25030	"Con"	"short battery life"
25031	"Con"	"goes though batteries"
25032	"Con"	"little pieces"
25033	"Con"	"N/A"
25034	"Con"	"wimpy flash; slow, dark lens"
25035	"Con"	"Have troubles capturing moving objects. Does not include case and AC adapter."
25036	"Con"	"Only an 8mb flash card. A little pricey."
25037	"Con"	"Battery life"
25038	"Con"	"The CompactFlash card is too small!"
25039	"Con"	"small card to being with (8mb); thats it!!!"
25040	"Con"	"Performance in Cold Weather, Menu, Storage"
25041	"Con"	"None so far"
25042	"Con"	"Unit-specific battery."
25043	"Con"	"Pricey, the zoom is weaker than Gandhi"
25044	"Con"	"Awkward menus, 8Mb memory a shame, no leather carrying case, bad memory indicator"
25045	"Con"	"Poor quality - replaced by a new model every 6 months"
25046	"Con"	"slow, limited zoom, software"
25047	"Con"	"Poor flash, lack of manual options."
25048	"Con"	"Battery = Abnormal (special order); Must recharge often. Slower operation in cold weather."
25049	"Con"	"Original Memory Card to small"
25050	"Con"	"lithium ion battery can be expensive..."
25051	"Con"	"lack of manual white balance &amp;amp; shutter speed selection, battery and CF door quality"
25052	"Con"	"expensive"
25053	"Con"	"Expensive."
25054	"Con"	"no camera case!"
25055	"Con"	"A little expensive"
25056	"Con"	"Tiny multi-function keys for editing."
25057	"Con"	"A bit pricey, no serial ports, short battery life."
25058	"Con"	"Needs to be upgraded right out of the box"
25059	"Con"	"8 meg memory card, no video/audio recording"
25060	"Con"	"CF shipped is small (8Mb)"
25061	"Con"	"Relatively short battery life"
25062	"Con"	"flash limits after about 8 feet image tails off"
25063	"Con"	"Short battery life. USB problems with NT, Storage Space&amp;#13;&amp;#10;"
25064	"Con"	"Flash card too small, Size, Support"
25065	"Con"	"Buying accessories ..."
25066	"Con"	"Digital zoom stinks (it's optical zoom is fine though)."
25067	"Con"	"Battery seems to run out pretty quickly."
25068	"Con"	"None"
25069	"Con"	"Somewhat slow to turn on, a few interface issues, battery life per charge isn't great."
25070	"Con"	"Battery life a little short, size of memory card, Telephoto ability"
25071	"Con"	"none"
25072	"Con"	"2x Optical Zoom, Battery Life"
25073	"Con"	"it died after 8 months of use."
25074	"Con"	"autonomy; no manual mode; lacks advanced features; measly 8MB card; uses compactflash; no movie mode"
25075	"Con"	"only accepts CF1 cards, some plastic parts, should come with case"
25076	"Con"	"Small, CF card too small, Some Plastic Parts, LCD washes out in bright light."
25077	"Con"	"Battery &amp; software management are not as good newer models"
25078	"Con"	"Durability, Battery Life"
25079	"Con"	"LCD is a little small."
25080	"Con"	"not as good as the PowerShot S10"
25081	"Con"	"no movie mode, relatively slow"
25082	"Con"	"Could get better battery life, but it's still sufficient, and you can buy spare batteries."
25083	"Con"	"Type-1 flash-card, only 8MB card included, pricey"
25084	"Con"	"battery is non-standard, LCD could be better outdoors, pricey"
25085	"Con"	"Slow operation of shutter trip"
25086	"Con"	"Battery life"
25087	"Con"	"small card, not easy to take candids at night"
25088	"Con"	"nearly drove me crazy in the beginning! Read the review."
25089	"Con"	"battery life, pricey at &amp;gt; $500"
25090	"Con"	"None"
25091	"Con"	"Not for very serious photography."
25092	"Con"	"Underfeatured, non-standard batteries"
25093	"Con"	"battery"
25094	"Con"	"longer telephoto would be nice"
25095	"Con"	"soft focusing, LCD needed for everything"
25096	"Con"	"Weak flash, may be difficult to use for large hands"
25097	"Con"	"Not so perfect LCD"
25098	"Con"	"doesn't ship with case"
25099	"Con"	"Battery needs to be replaced quickly"
25100	"Con"	"2x zoom, expensive, a bit slow"
25101	"Con"	"no diopter (wear your glasses), 2x zoom, fully automatic"
25102	"Con"	"Nothing, except people annoying you asking &amp;quot;What is that&amp;quot;"
25103	"Con"	"Photos could have warmer colors.  Flash could also be better."
25104	"Con"	"Software sucks"
25105	"Con"	"Hidden costs"
25106	"Con"	"8mb card is way to small, price is high,"
25107	"Con"	"Battery doesn't last long, memory is tight"
25108	"Con"	"Not the best value"
25109	"Con"	"Some useless features, expensive extras"
25110	"Con"	"Need for extra accessories"
25111	"Con"	"Had to upgrade after I bought it.  No protective case provided."
25112	"Con"	"a bit heavy"
25113	"Con"	"Really short battery life&amp;#13;&amp;#10;"
25114	"Con"	"May not be for those who are serious about their photography..."
25115	"Con"	"A Little Slow But You Get Use To It."
25116	"Con"	"size of screen for the farsighted"
25117	"Con"	"Flash a little weak, Need a decent size memory card"
25118	"Con"	"16MB card, Battery life"
25119	"Con"	"Limited battery life"
25120	"Con"	"you must learn how to use it"
25121	"Con"	"Weak flash, limited zoom"
25122	"Con"	"None significant"
25123	"Con"	"Does not support Windows 95 USB, needs bigger CF card out of the box"
25124	"Con"	"Zoom could be better"
25125	"Con"	"Very small, for small hands"
25126	"Con"	"Incorrect ViewFinder, Small Zoom, No Close-ups, Cost"
25127	"Con"	"immediately requires cf card upgrade, limited zoom"
25128	"Con"	"&lt;b&gt;TINY LCD, EXPENSIVE COMPARED TO OTHER 2 MEGAPIXEL CAMERAS&lt;/b&gt;"
25129	"Con"	"The cons don't count for much in comparison to its charms."
25130	"Con"	"Only 2 images sizes 1600X1200 and 640X480.&amp;#9;&amp;#9;&amp;#9;"
25131	"Con"	"Buy a bigger flashcard, and battery life could be better."
25132	"Con"	"wimpy zoom"
25133	"Con"	"Bundle is a bit weak."
25134	"Con"	"Short battery life, pictures could be a little sharper"
25135	"Con"	"lacks advanced feature, only 2.1 megapixels, only 2x optical zoom"
25136	"Con"	"Really bad software, bad support, small storage, bad in low light, few features."
25137	"Con"	"No manual mode, eats batteries and have to remove to charge, poor resolution LCD"
25138	"Con"	"Very pricey, short battery life."
25139	"Con"	"Additional memory cards can be expensive."
25140	"Con"	"Cons"
25141	"Con"	"So is many others. May not be your 'decisive moment' camera."
25142	"Con"	"Weak Flash, Decent Battery Life, Only 2 Resolution Settings"
25143	"Con"	"Small memory card, marginal battery life"
25144	"Con"	"Only a 2X optical zoom"
25145	"Con"	"Very few cons, except the skimpy 8MB card that come with it"
25146	"Con"	"Canon is too cheap to include case or a larger compactflash card&amp;#13;&amp;#10;"
25147	"Con"	"expensive battery&amp;#13;&amp;#10;lens does not rotate (like Nikon950, RicohRDC4300)"
25148	"Con"	"Somewhat limited battery life, but recharges quickly &amp; spares are available."
25149	"Con"	"no way"
25150	"Con"	"Camera case not included, ok battery life, heavyish, not good for poor lighting."
25151	"Con"	"standard 8mb memory"
25152	"Con"	"Battery life not nearly long enough."
25153	"Con"	"Learning curve"
25154	"Con"	"Lag from when you press the button."
25155	"Con"	"S100 only has an ISO setting of 100, and digital zoom is not seamless."
25156	"Con"	"Included Memory card is small, cheap plastic doors (battery and CF)"
25157	"Con"	"like most cameras, it comes with a small Memory card.  battery"
25158	"Con"	"Battery life, Zoom could be better, Switch on Back falls off"
25159	"Con"	"2X Zoom could be better, skimpy 8MB  included compact flash card"
25160	"Con"	"Only 2x zoom. Only 8MB card included."
25161	"Con"	"Movie length, CF door feels flimsy"
25162	"Con"	"Battery life, included memory, does not use standard batteries, larger zOOM?"
25163	"Con"	"none"
25164	"Con"	"Price, Proprietary Battery."
25165	"Con"	"None really."
25166	"Con"	"Fingerprint city, no case, measly included CF card capacity"
25167	"Con"	"Price and memory card - 8mb"
25168	"Con"	"Hmmm, any?"
25169	"Con"	"For the size and price?  None."
25170	"Con"	"Manual controls require too many button presses, shutter lag"
25171	"Con"	"no AC adapter, 8 MB (only) card"
25172	"Con"	"slightly short battery life, digital zoom, not a video camera"
25173	"Con"	"Flash, resolution not cutting edge, included memory is insufficient."
25174	"Con"	"expensive for a 2 megapixel camera, no carrying case included, small compactflash included"
25175	"Con"	"Stingy compact flash, lack of ac adapter"
25176	"Con"	"Battery life is short and the 8MB CF card is practically useless"
25177	"Con"	"Short  battery life, practically useless memory card, AC adapter not included."
25178	"Con"	"Needs stronger optical zoom. The included 8mb compact flash card is way too insufficient."
25179	"Con"	"Software supplied does not seem very good"
25180	"Con"	"Battery life could be longer, delayed shooting."
25181	"Con"	"Not enough zoom"
25182	"Con"	"Poor battery life and above average shutter lag"
25183	"Con"	"broke after one week, and replacement camera was also defective."
25184	"Con"	"Audio noise in movie mode, 2x zoom, 20-second movies, 2.1 MPixel"
25185	"Con"	"flash weak for big areas"
25186	"Con"	"Small buffer for movie file - your movie's over when it's full; tripod helps."
25187	"Con"	"proprietary batteries."
25188	"Con"	"Only 2.1 mega pixels and 2x optical zoom.  Not the best, but acceptable"
25189	"Con"	"short battery life, unadjustable shutter speed"
25190	"Con"	"expensive accessories, prolonged flash when snapping pictures"
25191	"Con"	"battery, menus, boxy shape/awkward"
25192	"Con"	"Buy an extra battery and keep it charged."
25193	"Con"	"Limited zoom, flash photo quality"
25194	"Con"	"crappy avi recording."
25195	"Con"	"Heard of a 15 minute man ... no you heard of a 15 minute camera."
25196	"Con"	"Red eye!"
25197	"Con"	"Short battery life, limited zoom, no sound on camera for movie playback."
25198	"Con"	"WARNING DO NOT BUY- broke down 1 month after warranty expired."
25199	"Con"	"Zoom is disappointing"
25200	"Con"	"battery/CF covers easily breakable, short battery life, shutter lag"
25201	"Con"	"Bit pricey, only 2x optical zoom, only 2 mega pixal"
25202	"Con"	"Limited manual controls, no TIFF format, weak flash, expensive"
25203	"Con"	"Slow exposure makes it difficult to capture nighttime pictures"
25204	"Con"	"Expensive. Image quality not completely perfect."
25205	"Con"	"8 MB included CF Card is too small"
25206	"Con"	"No cover on LCD. Slow shooting. Small battery life. No enclosed cover."
25207	"Con"	"Initial Memory Card Size (16mb), Proprietary Battery Pack"
25208	"Con"	"Have to buy extra memory to take a lot of pictures"
25209	"Con"	"Weak flash, provided memory card (8 MB) is insufficient."
25210	"Con"	"Menus not always intuitive, memory card provided is too small"
25211	"Con"	"Battery does not last as long as it should."
25212	"Con"	"battery life is average, short if you have the optional view screen on."
25213	"Con"	"lag time"
25214	"Con"	"Short focal length lens Flash on the weak side"
25215	"Con"	"Display won't turn off in ""IMAGE"" mode."
25216	"Con"	"low performance, for rookie only"
25217	"Con"	"Could be more compact. Doesn't work great in very dark situations."
25218	"Con"	"Battery hog. Recharge unit/battery is expensive too..."
25219	"Con"	"Inoperable in Cold Weather"
25220	"Con"	"People always come out grey-looking and washed out"
25221	"Con"	"Can't find rechargable batteries now; not truly manual adjustment"
25222	"Con"	"high cost"
25223	"Con"	"...of pale, washed out looking people. (Canon says no fix forthcoming)"
25224	"Con"	"Weak Flash, 2x zoom.&amp;#13;&amp;#10;Picture quality below nikon 950&amp;#13;&amp;#10;expensive and weak rechargeable battery"
25225	"Con"	"Doesn't come with a rechargeable battery pack ($100 extra)"
25226	"Con"	"Only 2x zoom, Battery hog (Rechargable Battery optional)"
25227	"Con"	"nothing"
25228	"Con"	"Could use more features"
25229	"Con"	"Could use more zoom, outdoor pics sometimes unnatural"
25230	"Con"	"price, but its not that bad"
25231	"Con"	"manuals"
25232	"Con"	"Can't think of one"
25233	"Con"	"Low optical zoom (2x)"
25234	"Con"	"No case, have to buy battery separately"
25235	"Con"	"Innocent bystanders can have their souls stolen!"
25236	"Con"	"- none"
25237	"Con"	"Pricey"
25238	"Con"	"Horrible customer service... delivery problems"
25239	"Con"	"doesn't come with enough accessories!!!!!!"
25240	"Con"	"- none"
25241	"Con"	"like all digital cameras, dynamic range of contrast is poor compared to film"
25242	"Con"	"None"
25243	"Con"	"Need more zoom and IBM 340 Mb Microdrive"
25244	"Con"	"Mediocre low light/high speed performance"
25245	"Con"	"Can be costly to get the most out of it"
25246	"Con"	"Need a lot of light"
25247	"Con"	"No rechargeable battery came with it"
25248	"Con"	"Short battery life, Weak Flash, and Urrrrr..... Needs more megapixels?"
25249	"Con"	"Still comes with only a 8MB CF card"
25250	"Con"	"wimpy 8MB compact flash card"
25251	"Con"	"8MB Flash Card (Included), Semi-Weak Flash, Short Battery Life, No Zoom with Movies"
25252	"Con"	"battery life, lack of memory"
25253	"Con"	"Soft photos, proprietary battery with mediocre life."
25254	"Con"	"Canon specific A/C adapter NOT INCLUDED and the measly 8MB flash card."
25255	"Con"	"Bad picture quality. (Very)Inadequate flash."
25256	"Con"	"Software is bulky"
25257	"Con"	"Skimpy included CF card, ""only"" 2 MP, Limited AVI recording time"
25258	"Con"	"Poor low-light performance, 2X optical zoom, short battery life, tiny weak Flash&amp;#13;&amp;#10;"
25259	"Con"	"One handed use sometimes means you open the battery compartment, turning the camera off."
25260	"Con"	"Limited zoom, not too good at far shots, better at close ones."
25261	"Con"	"Poor software and small flash card"
25262	"Con"	"only 2X Zoom, expensive power adapter, no simple USB driver"
25263	"Con"	"nothing"
25264	"Con"	"Videos are grainy, camera is still a bit thick, and battery could last longer."
25265	"Con"	"FOCUS, FOCUS, FOCUS"
25266	"Con"	"No included case, movie mode very limited in terms of time."
25267	"Con"	"People will want to borrow it from you."
25268	"Con"	"Only 8 Mg included, no case included"
25269	"Con"	"weak battery, very strong memory card ""eject"" mechanism"
25270	"Con"	"Only 2 megapixels, miniscule zoom, some controls too small to be easily used"
25271	"Con"	"Only 2 megapixels"
25272	"Con"	"Battery life, only comes with 8MB compactflash card."
25273	"Con"	"Indifferent image quality; very poor low light images."
25274	"Con"	"Only 2X zoom"
25275	"Con"	"Not good in low light, doesn't come with a case, only 8 MB card."
25276	"Con"	"only a beat too slow sometimes with the shutter to capture amazing blackmail shots"
25277	"Con"	"Bundled software poor"
25278	"Con"	"Manual modes difficult for me to learn, power button too close to shutter."
25279	"Con"	"price and 2MP"
25280	"Con"	"to try to do it by the control panel"
25281	"Con"	"Weak flash, slow shooting"
25282	"Con"	"None?"
25283	"Con"	"Standard 8mb card, weak flash, short battery life, no case, small zoom, slow shutter speed"
25284	"Con"	"Bad Micro performance. Slow start up time."
25285	"Con"	"maybe a bigger optical zoom..."
25286	"Con"	"auto focus weak, weak flash"
25287	"Con"	"Um.... well, Canon doesn't give them away for free."
25288	"Con"	"low light is blurry, flash is too much sometimes, not enough MP,"
25289	"Con"	"proprietary battery and charger."
25290	"Con"	"poor low light quality"
25291	"Con"	"Low battery life, skimpy size on included CF card"
25292	"Con"	"I really dont see anything wrong with this camera."
25293	"Con"	"red eye issues, the focus is sometimes weird"
25294	"Con"	"lag time between pressing the shutter and getting the picture taken, weak flash"
25295	"Con"	"Weak flash"
25296	"Con"	"Only 2 mega pixels and 2x zoom (optical)"
25297	"Con"	"small memory card"
25298	"Con"	"It takes awhile sometimes to take a photo."
25299	"Con"	"Doesn't come with a case, or a larger memory card."
25300	"Con"	"computer software, battery life"
25301	"Con"	"Weak flash, limited zoom"
25302	"Con"	"Poor focus on close objects, poor long distance optical zoom."
25303	"Con"	"No Case, Somewhat Pricy"
25304	"Con"	"No external attachments, lense not threaded, weird tripod mounting location, poor software."
25305	"Con"	"2x Optical Zoom, Weak Flash, So-So Battery Life"
25306	"Con"	"Poor low-light performance, poor battery life, weak flash, poor software.  ,"
25307	"Con"	"Poor battery life when using display, only 2X optical zoom"
25308	"Con"	"Weak flash, poor battery life"
25309	"Con"	"Red-eye issues; more zoom would be nice."
25310	"Con"	"Bad metering, Must be in manual  to force flash on, 3.2 Megapixels eat up memory."
25311	"Con"	"At times awkward, due to size"
25312	"Con"	"Not that great for action shots."
25313	"Con"	"2X Zoom"
25314	"Con"	"Weak flash, very slow response when using redeye reduction"
25315	"Con"	"get good at red eye touchup but this is the ONLY con"
25316	"Con"	"No battery status indicator, Shutter lag ( ALL average digital cameras have it )#!%$!"
25317	"Con"	"Limited optical zoom"
25318	"Con"	"The zoom is not as powerful as the rest of the camera's features."
25319	"Con"	"Easily toggled video/camera switch, CompactFlash memory is slow"
25320	"Con"	"Small, smooth exterior makes it prone to dropping!"
25321	"Con"	"Battery life, slight loss of quality in low light, weak flash, tiny standard 16MB card"
25322	"Con"	"Takes a while to learn all the features well."
25323	"Con"	"None for me"
25324	"Con"	"Red Eye with flash."
25325	"Con"	"A little heavy"
25326	"Con"	"Focusing problems using Flash - 2x zoom lens"
25327	"Con"	"sometimes shutter speed is slow"
25328	"Con"	"Special battery"
25329	"Con"	"user manual"
25330	"Con"	"Battery Life is so so, Size of supplied flash card."
25331	"Con"	"no battery indicator."
25332	"Con"	"slight purple fringing, iffy flash, 2X zoom"
25333	"Con"	"Doesn't come with a camera case.  You will need to buy a separate memory card."
25334	"Con"	"poor optical zoom, when digital zoom low quality"
25335	"Con"	"battery life"
25336	"Con"	"2X optical zoom, No battery status indicator, Awkward tripod mount placement"
25337	"Con"	"No USB 2.0, 2X Zoom"
25338	"Con"	"Only a 2X optical zoom."
